Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.00013830819628057008,-1.5894532183341596
5.787037037037037e-05,0.2,0.0004367692309937819,-2.177187129787106
2.3148148148148147e-05,0.5,0.0016182600051523244,-1.8336605409106863
1.1574074074074073e-05,1.0,0.0033594336847976958,0.7714857738157721
5.787037037037037e-06,2.0,0.00431916705025913,1.4687329616510003
1.6534391534391535e-06,7.0,0.006926874509835701,-1.3554136717616887
8.267195767195768e-07,14.0,0.004719116370649401,-0.5932962222650875
3.8580246913580245e-07,30.0,0.00733120189162855,1.3342295561833113
1.286008230452675e-07,90.0,0.014073468374290667,1.7718111978791682
3.1709791983764586e-08,365.0,,
