period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto
0.1,0.00170708377208,0.0018260651432747,0.0017107215072269,0.00178681933295,0.0017297471535047
0.2,0.0065338587349373,0.0068160042038726,0.006548424280967,0.006700623820795,0.0065926428144762
0.5,0.0319872020473581,0.0309239390614495,0.0319498868071874,0.0313542905238312,0.0314729229454896
1.0,0.0662865100083976,0.0651082987544977,0.0663493123664907,0.0656422573808529,0.0656422935097353
2.0,0.0722410673298902,0.0751570775228172,0.0722457885991301,0.0749364572499341,0.0748199853066321
7.0,0.1649589392939398,0.1361809311324188,0.1649679150523989,0.1369001009678036,0.1373352712169155
14.0,0.169931984233314,0.1627565125670452,0.169919848698408,0.162836963732738,0.1629264039471212
30.0,0.2203387690808433,0.2123820888463481,0.2203503397529187,0.2123750233426203,0.2123604526756434
90.0,2.1428161322188832,2.1948710777548492,2.1428014441035192,2.195929366899175,2.196362362197167
365.0,,,,,
