Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.320932366129143e-07,0.7345256405817493
5.787037037037037e-05,0.2,5.427287424023361e-07,1.147999116696826
2.3148148148148147e-05,0.5,5.658392254497245e-06,0.13171233271009386
1.1574074074074073e-05,1.0,1.3633501843397638e-05,-2.695295004177635
5.787037037037037e-06,2.0,2.961583057650963e-05,2.3996055667310747
1.6534391534391535e-06,7.0,6.079715312393628e-05,-0.5988748112177047
8.267195767195768e-07,14.0,8.28249561202273e-05,0.46064638812549363
3.8580246913580245e-07,30.0,9.046884116388612e-05,1.2238311427807835
1.286008230452675e-07,90.0,0.0010499385279928203,-3.0672260382356336
3.1709791983764586e-08,365.0,,
