Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0015356807283854854,1.6421800286857116
5.787037037037037e-05,0.2,0.005763720015776993,1.7980558814352103
2.3148148148148147e-05,0.5,0.03213407623564111,0.9362817267002066
1.1574074074074073e-05,1.0,0.051756228792700414,-1.4774730150834565
5.787037037037037e-06,2.0,0.07287693112637353,-2.923022987059552
1.6534391534391535e-06,7.0,0.13936926582359294,-0.32237714663109457
8.267195767195768e-07,14.0,0.1412343481401258,-1.4897733497092471
3.8580246913580245e-07,30.0,0.1376676025469022,1.2512620747169716
1.286008230452675e-07,90.0,1.69492662732035,-1.4330802526962512
3.1709791983764586e-08,365.0,,
