Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.00012684421632242447,-0.6344067767170203
5.787037037037037e-05,0.2,0.0004045649922738722,-1.398011863971078
2.3148148148148147e-05,0.5,0.0016279590751234923,-1.7073495352578547
1.1574074074074073e-05,1.0,0.0027438615675505745,1.4025790629299755
5.787037037037037e-06,2.0,0.003848026597049099,1.2655826870306957
1.6534391534391535e-06,7.0,0.005808365510238004,-0.9931232540966286
8.267195767195768e-07,14.0,0.00474344064249657,-1.5835462611852829
3.8580246913580245e-07,30.0,0.005471856527257075,1.3791262675162486
1.286008230452675e-07,90.0,0.0118239045073521,2.51784930496317
3.1709791983764586e-08,365.0,,
