Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0015286748628079204,2.0478887193984425
5.787037037037037e-05,0.2,0.005887043303236472,1.9210905627945025
2.3148148148148147e-05,0.5,0.03150707859498347,1.0673215927840431
1.1574074074074073e-05,1.0,0.0492769845514381,-1.1932865807694242
5.787037037037037e-06,2.0,0.07288899463544675,-2.8856915690536145
1.6534391534391535e-06,7.0,0.13935106234581598,-0.3036394975916994
8.267195767195768e-07,14.0,0.14145389877614067,-1.393793159160646
3.8580246913580245e-07,30.0,0.1377251795496232,1.2416936614311687
1.286008230452675e-07,90.0,1.694986173219914,-1.4297978437226337
3.1709791983764586e-08,365.0,,
