Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.2983144218774118e-07,0.6975358916470468
5.787037037037037e-05,0.2,5.652528476451522e-07,1.139190005331614
2.3148148148148147e-05,0.5,5.5741829998825e-06,0.1673543910246932
1.1574074074074073e-05,1.0,1.3297529413930777e-05,-2.443544791513362
5.787037037037037e-06,2.0,3.094031252395842e-05,2.413448473679065
1.6534391534391535e-06,7.0,6.360206033289285e-05,-0.9131992142090463
8.267195767195768e-07,14.0,8.01381094216012e-05,2.50715285507451
3.8580246913580245e-07,30.0,9.701683414514972e-05,1.1329657971225815
1.286008230452675e-07,90.0,0.001067267378864302,2.9936233605420544
3.1709791983764586e-08,365.0,,
