Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,4.045686988558101e-06,2.3920812335357877
5.787037037037037e-05,0.2,1.0931163391510055e-05,2.058234665085687
2.3148148148148147e-05,0.5,3.4997901325921156e-05,2.2422213123150114
1.1574074074074073e-05,1.0,9.787514615445382e-05,0.8055349727998934
5.787037037037037e-06,2.0,0.00048661964719450544,1.6661576364304056
1.6534391534391535e-06,7.0,0.0017831926238399424,-2.309276939174663
8.267195767195768e-07,14.0,0.0018187469492861458,-2.2816500262523434
3.8580246913580245e-07,30.0,0.004230159483685975,1.2214100097237997
1.286008230452675e-07,90.0,0.011406461887542,2.2122438287219715
3.1709791983764586e-08,365.0,,
