Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.2780737290379682e-06,0.252105983723305
5.787037037037037e-05,0.2,3.901933370684594e-06,-0.18794284561059615
2.3148148148148147e-05,0.5,1.1414077013485942e-05,-2.3218240755286255
1.1574074074074073e-05,1.0,2.211648123239037e-05,1.1858326537588868
5.787037037037037e-06,2.0,5.7318032492914476e-05,1.7125258950097637
1.6534391534391535e-06,7.0,0.00010648017614759098,-0.6865719948686928
8.267195767195768e-07,14.0,9.508631190914676e-05,-1.0906756214749582
3.8580246913580245e-07,30.0,0.00011368512697530833,1.259039813191293
1.286008230452675e-07,90.0,0.0010907947005779,2.919672061081852
3.1709791983764586e-08,365.0,,
