Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,2.624973460573151e-05,1.802130276445064
5.787037037037037e-05,0.2,0.00010271198021041006,1.7783901928789745
2.3148148148148147e-05,0.5,0.0005059871009628255,2.457701746142985
1.1574074074074073e-05,1.0,0.001292275926413377,0.9322519942541726
5.787037037037037e-06,2.0,0.002922050445872223,1.5750571308696992
1.6534391534391535e-06,7.0,0.0046438422236204455,-1.166446223381068
8.267195767195768e-07,14.0,0.0037535890580726455,-1.7483082219334791
3.8580246913580245e-07,30.0,0.00498225680047165,1.7205486275646311
1.286008230452675e-07,90.0,0.012513503545587026,2.4360136090722846
3.1709791983764586e-08,365.0,,
