Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,2.729712290697254e-07,-0.2182449640759286
5.787037037037037e-05,0.2,1.1489705987395267e-06,-0.22005133357774978
2.3148148148148147e-05,0.5,5.197570079645188e-06,0.11901752238026839
1.1574074074074073e-05,1.0,1.2612370210581745e-05,0.32722204343729444
5.787037037037037e-06,2.0,4.221232518373005e-05,1.4696162408534197
1.6534391534391535e-06,7.0,8.291621326606705e-05,-0.6099911058811528
8.267195767195768e-07,14.0,8.467649793623642e-05,-0.6958254584136674
3.8580246913580245e-07,30.0,0.00010167982961263602,1.344207596441555
1.286008230452675e-07,90.0,0.0010668995580382999,2.997878098772535
3.1709791983764586e-08,365.0,,
