Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.6028354850845546e-06,-1.2632836464061725
5.787037037037037e-05,0.2,4.84013453667172e-06,-1.4583123351257536
2.3148148148148147e-05,0.5,1.3378828797542521e-05,-1.399573978148815
1.1574074074074073e-05,1.0,2.625410397388091e-05,0.2739963685053465
5.787037037037037e-06,2.0,6.938755625341427e-05,-2.6552340513799355
1.6534391534391535e-06,7.0,0.0001344315700439142,-1.5222722164044449
8.267195767195768e-07,14.0,0.00012540225367637642,-0.9869317024500606
3.8580246913580245e-07,30.0,0.0001476784957158804,0.7785009033730741
1.286008230452675e-07,90.0,0.0012174944678669333,-2.902476399247005
3.1709791983764586e-08,365.0,,
