Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.00014153950278256557,-1.368238707653802
5.787037037037037e-05,0.2,0.0004418868285228871,-2.0935927940363457
2.3148148148148147e-05,0.5,0.001634803543699404,-1.8824428653686678
1.1574074074074073e-05,1.0,0.003345609116649758,0.4156811481900763
5.787037037037037e-06,2.0,0.004359501805872657,2.8837529558645176
1.6534391534391535e-06,7.0,0.006523227759057275,1.2974898676532773
8.267195767195768e-07,14.0,0.0046770906116408795,-0.8783183429815911
3.8580246913580245e-07,30.0,0.0070346911950683,1.7192384085743861
1.286008230452675e-07,90.0,0.014012601856427933,1.7472800854160633
3.1709791983764586e-08,365.0,,
