Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0017457880211589755,-1.2314936095253728
5.787037037037037e-05,0.2,0.006605037699592687,-0.901985463438245
2.3148148148148147e-05,0.5,0.0322114867120813,0.5100086046943292
1.1574074074074073e-05,1.0,0.06737551970119071,-2.270055891038341
5.787037037037037e-06,2.0,0.08000787826317012,-2.2003448447682508
1.6534391534391535e-06,7.0,0.11674040781272813,-1.1899212545721367
8.267195767195768e-07,14.0,0.1873998201739376,-0.7182903177019446
3.8580246913580245e-07,30.0,0.23165349897854612,-1.4336575731105476
1.286008230452675e-07,90.0,2.098720527774782,-2.3638602820685017
3.1709791983764586e-08,365.0,,
