Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,4.167207233160764e-07,-1.121657576977052
5.787037037037037e-05,0.2,1.75175972011025e-06,-1.2418207470830203
2.3148148148148147e-05,0.5,7.055921834798402e-06,-1.1989841839838078
1.1574074074074073e-05,1.0,1.6248375988026125e-05,-0.07485821541373067
5.787037037037037e-06,2.0,5.4567664510474994e-05,-0.07952795016490519
1.6534391534391535e-06,7.0,0.00011368668989826887,-1.4573685581216522
8.267195767195768e-07,14.0,0.00011616187733641371,-1.2151733783313743
3.8580246913580245e-07,30.0,0.00013805021916315027,0.0673397243794619
1.286008230452675e-07,90.0,0.0011907643294542334,-2.879332994027521
3.1709791983764586e-08,365.0,,
