Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0013362333908387854,-1.303887292277609
5.787037037037037e-05,0.2,0.002975461847802565,-1.4367286661040457
2.3148148148148147e-05,0.5,0.010396899722610745,-1.4256253395912455
1.1574074074074073e-05,1.0,0.021424482713905013,-1.1401987958017177
5.787037037037037e-06,2.0,0.06204719081910678,-1.4335423490094044
1.6534391534391535e-06,7.0,0.14386790077481623,-1.0554993876255732
8.267195767195768e-07,14.0,0.17000172621727405,-0.7388371699548947
3.8580246913580245e-07,30.0,0.2151634495966351,-1.5122653302856237
1.286008230452675e-07,90.0,2.179387140782167,-2.2714329894070753
3.1709791983764586e-08,365.0,,
