period_days,w01-base_o01-base_kyoto,w01-base_o02-low_kyoto,w01-base_o03-high_kyoto,w01-base_o04-none_kyoto,w01-base_o05-storage_kyoto,w02-inner_o01-base_kyoto,w02-inner_o02-low_kyoto,w02-inner_o03-high_kyoto,w02-inner_o04-none_kyoto,w02-inner_o05-storage_kyoto,w03-outer_o01-base_kyoto,w03-outer_o02-low_kyoto,w03-outer_o03-high_kyoto,w03-outer_o04-none_kyoto,w03-outer_o05-storage_kyoto,w04-hygro_o01-base_kyoto,w04-hygro_o02-low_kyoto,w04-hygro_o03-high_kyoto,w04-hygro_o04-none_kyoto,w04-hygro_o05-storage_kyoto
0.1,1.320932366129143e-07,1.305014213234601e-07,1.395328890054436e-07,1.215493155341336e-07,1.2983144218774118e-07,1.743521102081592e-07,1.5402744414590558e-07,4.4348876841306963e-07,2.2693751042119167e-07,2.729712290697254e-07,,,,,,2.923759510705948e-07,3.810761207522607e-07,4.167207233160764e-07,3.6993293015640545e-07,3.823677330981068e-07
0.2,5.427287424023361e-07,5.072049040160344e-07,6.293320613133792e-07,4.57150466383967e-07,5.652528476451522e-07,7.673407395650276e-07,5.458511647130266e-07,1.7337958389899898e-06,5.900210701296514e-07,1.1489705987395269e-06,,,,,,8.042746371241898e-07,8.776589882870427e-07,1.75175972011025e-06,8.28046056856692e-07,1.183912576629522e-06
0.5,5.658392254497245e-06,5.636973750129313e-06,5.428019662852987e-06,5.235391127166093e-06,5.5741829998825e-06,4.833106934967828e-06,5.130982255808504e-06,6.4209095560282665e-06,4.887694653432935e-06,5.197570079645188e-06,,,,,,4.5365265652745024e-06,4.423642593443612e-06,7.055921834798402e-06,3.995884002812771e-06,5.41198363120918e-06
1.0,1.3633501843397638e-05,1.4001620156498124e-05,1.2762120135544973e-05,1.2834999353673353e-05,1.3297529413930777e-05,1.1664443208495492e-05,1.2063730134831128e-05,1.504230359651145e-05,1.1268365338125268e-05,1.2612370210581745e-05,,,,,,1.2930615433701176e-05,1.2494499327216418e-05,1.6248375988026125e-05,1.1155734148495969e-05,1.3848610137372598e-05
2.0,2.961583057650963e-05,2.833424291233178e-05,3.3630701608384036e-05,2.571636246615071e-05,3.094031252395842e-05,3.606173210251341e-05,2.9125838086745968e-05,4.806682932369449e-05,2.2765414055436825e-05,4.221232518373005e-05,,,,,,4.036879383874963e-05,3.5083460530628866e-05,5.4567664510474994e-05,2.689510733110023e-05,4.6646367300527816e-05
7.0,6.079715312393628e-05,5.95706270886313e-05,7.320571950614568e-05,5.572817278631283e-05,6.360206033289285e-05,7.232831058664118e-05,6.0355814514844536e-05,9.218761872673124e-05,5.0223022421792074e-05,8.291621326606705e-05,,,,,,8.873599083472828e-05,6.968136300982532e-05,0.0001136866898982,6.556926542544528e-05,0.0001011040494318
14.0,8.28249561202273e-05,8.466317591641296e-05,7.948526355698017e-05,7.934484895660818e-05,8.01381094216012e-05,8.228328724738065e-05,8.069673886347357e-05,8.84189619305112e-05,7.072592102169633e-05,8.467649793623642e-05,,,,,,0.0001076038255198,0.0001075868869534,0.0001161618773364,9.208511474789484e-05,0.0001068730371852
30.0,9.046884116388612e-05,8.09916104724908e-05,0.0001044448251572,6.351321335770784e-05,9.701683414514972e-05,9.485732505406724e-05,8.164459258265247e-05,0.0001067244721966,5.646190336415944e-05,0.0001016798296126,,,,,,0.000118631324603,0.0001016299417658,0.0001380502191631,7.870814007902761e-05,0.0001292103193604
90.0,0.0010499385279928,0.0010032983081714,0.0010785151802533,0.0008813177091217,0.0010672673788643,0.0010474422703372,0.0009835332422678,0.0010780740051218,0.0007755245455993,0.0010668995580382,,,,,,0.0011916567043798,0.0011105402721047,0.0011907643294542,0.0008884833699512,0.0012264231570692
365.0,,,,,,,,,,,,,,,,,,,,
