Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.5477651005860742e-06,-1.3720758757453702
5.787037037037037e-05,0.2,4.6453243165568385e-06,-1.2778114129700826
2.3148148148148147e-05,0.5,1.3166185774653523e-05,-1.4679744217824557
1.1574074074074073e-05,1.0,2.543247433555918e-05,1.1707084323911003
5.787037037037037e-06,2.0,6.684175144445976e-05,-0.7022954935250317
1.6534391534391535e-06,7.0,0.0001363387572150847,-1.578757078942405
8.267195767195768e-07,14.0,0.00011506638484526781,-0.20971068212042532
3.8580246913580245e-07,30.0,0.00014745610323487013,1.754116201035103
1.286008230452675e-07,90.0,0.0012490211168715668,-2.8130081293024998
3.1709791983764586e-08,365.0,,
