Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,9.504675365076168e-05,-1.4569408502785113
5.787037037037037e-05,0.2,0.0002298212574629106,-0.5808394745032733
2.3148148148148147e-05,0.5,0.0006245240538682204,-3.130369250514466
1.1574074074074073e-05,1.0,0.0012196665756650502,-0.5560318211505044
5.787037037037037e-06,2.0,0.002138952332596698,0.3734003228058716
1.6534391534391535e-06,7.0,0.005421900559132357,1.3509738194830527
8.267195767195768e-07,14.0,0.005383656334509651,-2.647949310503681
3.8580246913580245e-07,30.0,0.0064739652998973,-2.4279891342333526
1.286008230452675e-07,90.0,0.0116629052319234,1.4022108118541694
3.1709791983764586e-08,365.0,,
