Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.001218231673275617,1.8584168020802407
5.787037037037037e-05,0.2,0.0029581706879326275,-2.6314574900019085
2.3148148148148147e-05,0.5,0.009843153828038492,0.12639735199083665
1.1574074074074073e-05,1.0,0.019587487063791098,2.4337170390568943
5.787037037037037e-06,2.0,0.04167831929757189,0.6271602132529162
1.6534391534391535e-06,7.0,0.09456431678039687,1.6534258414060725
8.267195767195768e-07,14.0,0.11344336000308246,-2.7030200691879287
3.8580246913580245e-07,30.0,0.0760753972618308,-2.397262093679306
1.286008230452675e-07,90.0,0.7613127382947557,1.1625594433142525
3.1709791983764586e-08,365.0,,
