Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.5485114332638672e-06,0.6987317636960708
5.787037037037037e-05,0.2,3.4240697738987675e-06,-1.121135215734239
2.3148148148148147e-05,0.5,8.636138956096365e-06,0.9696166298291404
1.1574074074074073e-05,1.0,1.866199299296932e-05,-0.7675872359841083
5.787037037037037e-06,2.0,5.499096684077885e-05,0.6663370900117175
1.6534391534391535e-06,7.0,0.00014378440766028424,1.2917077669779473
8.267195767195768e-07,14.0,0.0001641399388466023,2.9163839535281375
3.8580246913580245e-07,30.0,0.00015921770087803748,-2.2203544907232438
1.286008230452675e-07,90.0,0.0008343713563416156,1.857813632591978
3.1709791983764586e-08,365.0,,
