Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,2.478218460403081e-05,1.77217640144104
5.787037037037037e-05,0.2,5.493436125476838e-05,1.8092878633529141
2.3148148148148147e-05,0.5,0.0001485475167249462,1.7721948931568097
1.1574074074074073e-05,1.0,0.00031816994017127865,2.0670228031038858
5.787037037037037e-06,2.0,0.0011896028010072248,1.377900142055142
1.6534391534391535e-06,7.0,0.004033290406473021,1.6086202569376489
8.267195767195768e-07,14.0,0.005193640226898214,2.632450232171136
3.8580246913580245e-07,30.0,0.0062782988635978,2.755881481522721
1.286008230452675e-07,90.0,0.0145275305905614,2.3928065984643454
3.1709791983764586e-08,365.0,,
