Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,2.5723916408946636e-06,1.7584399021473978
5.787037037037037e-05,0.2,5.408991295221019e-06,1.641024024398355
2.3148148148148147e-05,0.5,1.2955031605023971e-05,1.725540749769654
1.1574074074074073e-05,1.0,2.4785752189639958e-05,1.1347150605828011
5.787037037037037e-06,2.0,7.362320364697387e-05,1.0707859084853288
1.6534391534391535e-06,7.0,0.00024388973692187192,1.858470226328058
8.267195767195768e-07,14.0,0.0003111146179678572,1.828247084789657
3.8580246913580245e-07,30.0,0.00025357414704125,2.1873088242789276
1.286008230452675e-07,90.0,0.00119564899829175,1.9461733573038065
3.1709791983764586e-08,365.0,,
