Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.3965583486229906e-06,1.707215007960624
5.787037037037037e-05,0.2,3.3431502673226862e-06,1.7271779471434605
2.3148148148148147e-05,0.5,9.329932509592495e-06,1.790176996853405
1.1574074074074073e-05,1.0,1.9385661058112792e-05,1.637842362809698
5.787037037037037e-06,2.0,6.178634724039174e-05,1.2505935240847401
1.6534391534391535e-06,7.0,0.00021531051703890797,1.7895591546593148
8.267195767195768e-07,14.0,0.00029457252342022854,1.7739532174434276
3.8580246913580245e-07,30.0,0.00025343747205152495,2.181509348237312
1.286008230452675e-07,90.0,0.0012198693177361,1.9510780277068533
3.1709791983764586e-08,365.0,,
