Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.000823443197144706,1.3759732374305687
5.787037037037037e-05,0.2,0.0019106099426618938,1.4583354274288367
2.3148148148148147e-05,0.5,0.005852714187148041,1.1611447823998862
1.1574074074074073e-05,1.0,0.014733932965164887,1.2892549222090277
5.787037037037037e-06,2.0,0.04145954952096425,1.1958323005184543
1.6534391534391535e-06,7.0,0.1433295551526172,1.512242278589367
8.267195767195768e-07,14.0,0.20880903381182417,1.703729063482254
3.8580246913580245e-07,30.0,0.2153922185484501,2.106811536641409
1.286008230452675e-07,90.0,1.1310367136774413,1.9585209639472279
3.1709791983764586e-08,365.0,,
