Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.00013190177814639226,-1.4543980346077763
5.787037037037037e-05,0.2,0.00029847582853094056,-1.2818651893082738
2.3148148148148147e-05,0.5,0.000949749583087517,-1.585753459871644
1.1574074074074073e-05,1.0,0.0013879900161579025,-1.2473949067186407
5.787037037037037e-06,2.0,0.0029038482092419936,0.11745463465777874
1.6534391534391535e-06,7.0,0.007797530970684657,1.6331508538319723
8.267195767195768e-07,14.0,0.00881838721150707,-2.6050974487525322
3.8580246913580245e-07,30.0,0.0083994539592074,-2.8362695392061132
1.286008230452675e-07,90.0,0.0118541250658084,2.7188620225358315
3.1709791983764586e-08,365.0,,
