Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.000588405902440405,1.2607425812624737
5.787037037037037e-05,0.2,0.001444562871772624,1.4364631149417575
2.3148148148148147e-05,0.5,0.006009708490091243,1.1361046867986977
1.1574074074074073e-05,1.0,0.011434870761171938,1.4937295677783509
5.787037037037037e-06,2.0,0.03789427778088149,1.1717888261418004
1.6534391534391535e-06,7.0,0.11283183679248603,1.4356301464851928
8.267195767195768e-07,14.0,0.20406570272454053,2.4305565981142747
3.8580246913580245e-07,30.0,0.19625939947142643,2.0214867319006413
1.286008230452675e-07,90.0,1.1250354234425646,2.0509982760062826
3.1709791983764586e-08,365.0,,
