Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.3410565657543226e-05,1.7436658189939853
5.787037037037037e-05,0.2,3.412165004403561e-05,1.671900544940689
2.3148148148148147e-05,0.5,0.00010497706043971937,1.753679678988915
1.1574074074074073e-05,1.0,0.0003296862919017287,1.287164950693002
5.787037037037037e-06,2.0,0.0013270731543145455,1.4699839190209374
1.6534391534391535e-06,7.0,0.00320264566058123,1.9567266012041358
8.267195767195768e-07,14.0,0.001605567993536809,-2.00247206457274
3.8580246913580245e-07,30.0,0.0054767431324262,1.8984808239958606
1.286008230452675e-07,90.0,0.014248557289806901,1.942941911535482
3.1709791983764586e-08,365.0,,
