Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.5584127657796896e-06,-1.1378150372150782
5.787037037037037e-05,0.2,4.759988599102562e-06,-1.3459670946938984
2.3148148148148147e-05,0.5,1.315064792409374e-05,-1.369777319433884
1.1574074074074073e-05,1.0,2.58775266405309e-05,1.3117563762601137
5.787037037037037e-06,2.0,6.674447012505337e-05,2.2090291966918016
1.6534391534391535e-06,7.0,0.0001326016008538153,-0.89996885183539
8.267195767195768e-07,14.0,0.0001231732831989149,-0.7736425739010395
3.8580246913580245e-07,30.0,0.00014748097854120465,1.1902115065944274
1.286008230452675e-07,90.0,0.0012326877689169333,-2.844210129034852
3.1709791983764586e-08,365.0,,
