Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0016892455102043829,-1.267399077715496
5.787037037037037e-05,0.2,0.0064201053099634,-0.7503276237079877
2.3148148148148147e-05,0.5,0.032382745502981654,0.6777236399820717
1.1574074074074073e-05,1.0,0.06566696314392784,-2.4906379125274287
5.787037037037037e-06,2.0,0.07219176513817674,-2.386010277078245
1.6534391534391535e-06,7.0,0.16489019144135172,-0.9111000593459918
8.267195767195768e-07,14.0,0.1700233442802922,-0.6746684795199337
3.8580246913580245e-07,30.0,0.22026066126910507,-1.2844744236866217
1.286008230452675e-07,90.0,2.1429031812449577,-2.307797991372373
3.1709791983764586e-08,365.0,,
