Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.7561895553981814e-06,-1.5226364663539675
5.787037037037037e-05,0.2,3.8164419753844165e-06,-1.6451714841587135
2.3148148148148147e-05,0.5,4.69196687962741e-05,-1.6651720970596993
1.1574074074074073e-05,1.0,0.00014293100952795037,0.5407344652492475
5.787037037037037e-06,2.0,0.0002968302544935639,1.4305247357620998
1.6534391534391535e-06,7.0,0.00054160697946121,-0.5207140404644618
8.267195767195768e-07,14.0,0.00045069270499914857,1.5835491965579618
3.8580246913580245e-07,30.0,0.0004077438763889667,-2.817566379496469
1.286008230452675e-07,90.0,0.002908779585293867,-2.376611487169722
3.1709791983764586e-08,365.0,,
