Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.00013702294450047739,-1.5788203610981324
5.787037037037037e-05,0.2,0.0004355795651547342,-2.272185498374239
2.3148148148148147e-05,0.5,0.0015941965179613277,-1.7235167067032726
1.1574074074074073e-05,1.0,0.003299930228979284,0.4427808026728101
5.787037037037037e-06,2.0,0.004220276595399316,1.123074672239888
1.6534391534391535e-06,7.0,0.006882869575829329,2.7065036016484063
8.267195767195768e-07,14.0,0.004841765449323691,-0.4995084309478779
3.8580246913580245e-07,30.0,0.007521304759456165,1.471515273103934
1.286008230452675e-07,90.0,0.0142123734311317,1.8543942241706797
3.1709791983764586e-08,365.0,,
