period_days,w01-base_o01-base_kyoto,w01-base_o01-base_okinawa,w01-base_o02-low_kyoto,w01-base_o02-low_okinawa,w01-base_o03-high_kyoto,w01-base_o03-high_okinawa,w01-base_o04-none_kyoto,w01-base_o04-none_okinawa,w01-base_o05-storage_kyoto,w01-base_o05-storage_okinawa,w02-inner_o01-base_kyoto,w02-inner_o01-base_okinawa,w02-inner_o02-low_kyoto,w02-inner_o02-low_okinawa,w02-inner_o03-high_kyoto,w02-inner_o03-high_okinawa,w02-inner_o04-none_kyoto,w02-inner_o04-none_okinawa,w02-inner_o05-storage_kyoto,w02-inner_o05-storage_okinawa,w03-outer_o01-base_kyoto,w03-outer_o02-low_kyoto,w03-outer_o03-high_kyoto,w03-outer_o04-none_kyoto,w03-outer_o05-storage_kyoto,w04-hygro_o01-base_kyoto,w04-hygro_o02-low_kyoto,w04-hygro_o03-high_kyoto,w04-hygro_o04-none_kyoto,w04-hygro_o05-storage_kyoto
0.1,0.00170708377208,0.0012147648420087,0.0018260651432747,0.0012206060626634,0.0017107215072269,0.0012182316732756,0.00178681933295,0.001209814992747,0.0017297471535047,0.0012076929825546,0.0015139418948456,0.0017872608819614,0.0015103367672643,0.00183359802666,0.0015154730875447,0.0018455061325931,0.0015259013635234,0.0017907619844851,0.0015139418948456,0.0017828274858567,0.0015228819423869,0.0015228819423869,0.0015228819423869,0.0015228819423869,0.0015228819423869,0.0017107215072269,0.0017457880211589,0.0017122693945606,0.0016892455102043,0.0017387441774941
0.2,0.0065338587349373,0.0029731835103473,0.0068160042038726,0.0029719871209972,0.006548424280967,0.0029581706879326,0.006700623820795,0.0029682601447431,0.0065926428144762,0.0028846403416405,0.0059465062038608,0.0041620518143767,0.005966422562357,0.0040793026144638,0.0059353358429408,0.0040967247124264,0.0059504248633403,0.0041814704976462,0.0059465062038608,0.0041663195125497,0.0058164066463906,0.0058164066463906,0.0058164066463906,0.0058164066463906,0.0058164066463906,0.006548424280967,0.0066050376995926,0.0065828293276871,0.0064201053099634,0.0066112547322861
0.5,0.0319872020473581,0.009974284830076,0.0309239390614495,0.0099135541618684,0.0319498868071874,0.0098431538280384,0.0313542905238312,0.0111165078913809,0.0314729229454896,0.0096275285568151,0.0309464632535219,0.0166351673031398,0.0306964099948552,0.013342170734379,0.031065624871804,0.0134509387440907,0.0290052765864502,0.0141823035109741,0.0309464632535219,0.0167268471677656,0.025628053300504,0.025628053300504,0.025628053300504,0.025628053300504,0.025628053300504,0.0319498868071874,0.0322114867120813,0.0331612111428025,0.0323827455029816,0.0314563792691827
1.0,0.0662865100083976,0.0197529867724286,0.0651082987544977,0.0196766913501886,0.0663493123664907,0.019587487063791,0.0656422573808529,0.0184695936786982,0.0656422935097353,0.0193800696668993,0.0478537601734468,0.0231180607420908,0.0472913261982162,0.0273288962794449,0.0481377533685518,0.0273965029377544,0.044517436846024,0.0279301028338579,0.0478537601734468,0.0232535467460268,0.0587259953318462,0.0587259953318462,0.0587259953318462,0.0587259953318462,0.0587259953318462,0.0663493123664907,0.0673755197011907,0.0664914302704308,0.0656669631439278,0.0656608932925274
2.0,0.0722410673298902,0.0416888559739046,0.0751570775228172,0.0416842435112981,0.0722457885991301,0.0416783192975718,0.0749364572499341,0.0416786451275464,0.0748199853066321,0.0416555579406369,0.0728889534234452,0.0410944830452151,0.0728878377660717,0.0445976262683438,0.0728893454389899,0.044567173859646,0.072877472004551,0.0431136417004752,0.0728889534234452,0.0411046303273922,0.0720877973283186,0.0720877973283186,0.0720877973283186,0.0720877973283186,0.0720877973283186,0.0722457885991301,0.0800078782631701,0.0709374501138418,0.0721917651381767,0.0748407685772718
7.0,0.1649589392939398,0.0947845274496648,0.1361809311324188,0.0946758232645946,0.1649679150523989,0.0945643167803968,0.1369001009678036,0.0959591210970416,0.1373352712169155,0.0942740219164911,0.139292899256526,0.1098465515162594,0.13925928564838,0.140437271601973,0.139307219590731,0.1404484742627485,0.138914574426733,0.1143090921668834,0.139292899256526,0.1097372119262866,0.1328610711880297,0.1328610711880297,0.1328610711880297,0.1328610711880297,0.1328610711880297,0.1649679150523989,0.1167404078127281,0.1564613064064839,0.1648901914413517,0.1372607438805947
14.0,0.169931984233314,0.1133331195127895,0.1627565125670452,0.113388224207932,0.169919848698408,0.1134433600030824,0.162836963732738,0.1117380157783071,0.1629264039471212,0.1135892223187511,0.1415807500927726,0.2005087521186118,0.1416320924099427,0.2064983441009207,0.1415551773970798,0.2067951679226152,0.1419416273444585,0.2248155314188173,0.1415807500927726,0.2006659271894626,0.1481095778261918,0.1481095778261918,0.1481095778261918,0.1481095778261918,0.1481095778261918,0.169919848698408,0.1873998201739376,0.1850927561234996,0.1700233442802922,0.1629088783612305
30.0,0.2203387690808433,0.0760422650689298,0.2123820888463481,0.0760587291333603,0.2203503397529187,0.0760753972618308,0.2123750233426203,0.0754538040158355,0.2123604526756434,0.0761212518008978,0.1377512639266391,0.2025569682723552,0.1377603261969129,0.2144693394647423,0.1377463914259742,0.2143800170986542,0.1377942278480518,0.2042518578173839,0.1377512639266391,0.2025749574424747,0.1380706716486667,0.1380706716486667,0.1380706716486667,0.1380706716486667,0.1380706716486667,0.2203503397529187,0.2316534989785461,0.2407665238110568,0.220260661269105,0.2123635866371753
90.0,2.1428161322188832,0.7613832032844332,2.1948710777548492,0.7613478752572573,2.1428014441035192,0.7613127382947557,2.195929366899175,0.7620996908682458,2.196362362197167,0.7612244363516084,1.6950168250480515,1.128089984821441,1.6950285347653735,1.1356257802723335,1.695010832537673,1.1356348206324114,1.6950906462757065,1.1327281985410893,1.6950168250480515,1.128120414955186,1.6961827327029435,1.6961827327029435,1.6961827327029435,1.6961827327029435,1.6961827327029435,2.1428014441035192,2.098720527774782,2.058634263380664,2.1429031812449577,2.1962988679845323
365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
