period_days,w01-base_o01-base_kyoto,w01-base_o01-base_okinawa,w01-base_o02-low_kyoto,w01-base_o02-low_okinawa,w01-base_o03-high_kyoto,w01-base_o03-high_okinawa,w01-base_o04-none_kyoto,w01-base_o04-none_okinawa,w01-base_o05-storage_kyoto,w01-base_o05-storage_okinawa,w02-inner_o01-base_kyoto,w02-inner_o01-base_okinawa,w02-inner_o02-low_kyoto,w02-inner_o02-low_okinawa,w02-inner_o03-high_kyoto,w02-inner_o03-high_okinawa,w02-inner_o04-none_kyoto,w02-inner_o04-none_okinawa,w02-inner_o05-storage_kyoto,w02-inner_o05-storage_okinawa,w03-outer_o01-base_kyoto,w03-outer_o02-low_kyoto,w03-outer_o03-high_kyoto,w03-outer_o04-none_kyoto,w03-outer_o05-storage_kyoto,w04-hygro_o01-base_kyoto,w04-hygro_o02-low_kyoto,w04-hygro_o03-high_kyoto,w04-hygro_o04-none_kyoto,w04-hygro_o05-storage_kyoto
0.1,1.555847943312702e-07,4.009833606602904e-07,1.8455678586492256e-07,3.973480248100107e-07,1.684306375880085e-07,4.039418657374277e-07,2.03506131029304e-07,3.015464342806631e-07,1.8959653150379012e-07,4.107399738434197e-07,1.743521102081592e-07,8.066682874413734e-07,1.5402744414590558e-07,9.711474266198134e-07,4.4348876841306963e-07,1.3965583486229906e-06,2.2693751042119167e-07,3.497081000549358e-07,2.729712290697254e-07,9.088304559964008e-07,,,,,,2.923759510705948e-07,3.810761207522607e-07,4.167207233160764e-07,3.6993293015640545e-07,3.823677330981068e-07
0.2,6.330398396083299e-07,1.0015529010885565e-06,6.199985061927547e-07,9.808681606274633e-07,7.543271500973658e-07,1.0382387639639014e-06,6.103682206207764e-07,7.363545277359387e-07,6.967357105504513e-07,1.0240305292600708e-06,7.673407395650276e-07,2.0114249047633004e-06,5.458511647130266e-07,2.2769112839356433e-06,1.7337958389899898e-06,3.3431502673226862e-06,5.900210701296514e-07,9.60231205616701e-07,1.1489705987395269e-06,2.273157383580831e-06,,,,,,8.042746371241898e-07,8.776589882870427e-07,1.75175972011025e-06,8.28046056856692e-07,1.183912576629522e-06
0.5,6.481660968419809e-06,3.28276347566804e-06,6.219134440437537e-06,3.11770884437696e-06,6.2420336493619026e-06,3.519951054810851e-06,5.981234801980508e-06,2.663696916337858e-06,6.386852933698846e-06,3.425626189201536e-06,4.833106934967828e-06,6.825169966170401e-06,5.130982255808504e-06,6.294877804419043e-06,6.4209095560282665e-06,9.329932509592496e-06,4.887694653432935e-06,3.2836528122101268e-06,5.197570079645188e-06,7.702572037415934e-06,,,,,,4.5365265652745024e-06,4.423642593443612e-06,7.055921834798402e-06,3.995884002812771e-06,5.41198363120918e-06
1.0,1.829565043112582e-05,9.240739604509696e-06,1.7884342920072777e-05,8.713959253660307e-06,1.7181195059393036e-05,9.76475050107118e-06,1.6664289266574576e-05,6.823772673373631e-06,1.7417984245164757e-05,9.231444114499784e-06,1.1664443208495492e-05,1.370767284246221e-05,1.2063730134831128e-05,1.4851962510359338e-05,1.504230359651145e-05,1.9385661058112792e-05,1.1268365338125268e-05,9.448000918655056e-06,1.2612370210581745e-05,1.5419639861274408e-05,,,,,,1.2930615433701176e-05,1.2494499327216418e-05,1.6248375988026125e-05,1.1155734148495969e-05,1.3848610137372598e-05
2.0,3.538526015241208e-05,2.7252531515645017e-05,3.3272374923726304e-05,2.537894257130402e-05,4.013178305253395e-05,3.233910507508463e-05,3.0095774465598893e-05,2.0890211887179343e-05,3.6711705308795466e-05,2.8913885350602248e-05,3.606173210251341e-05,4.473937784737395e-05,2.9125838086745968e-05,3.91010008037837e-05,4.806682932369449e-05,6.178634724039174e-05,2.2765414055436825e-05,2.0906322599507013e-05,4.221232518373005e-05,5.182741533764011e-05,,,,,,4.036879383874963e-05,3.5083460530628866e-05,5.4567664510474994e-05,2.689510733110023e-05,4.6646367300527816e-05
7.0,7.297701360033795e-05,7.323603507946662e-05,6.720710810591651e-05,6.547954039132197e-05,9.2107012233535e-05,9.665673834407496e-05,6.295030189057215e-05,5.23065935794628e-05,7.562306425232467e-05,8.140656445903472e-05,7.232831058664118e-05,0.0001358484936372,6.0355814514844536e-05,0.0001374079337089,9.218761872673124e-05,0.0002153105170389,5.0223022421792074e-05,6.264787406434213e-05,8.291621326606705e-05,0.0001552786391941,,,,,,8.873599083472828e-05,6.968136300982532e-05,0.0001136866898982,6.556926542544528e-05,0.0001011040494318
14.0,0.0001042504604362,0.0001101006146189,0.0001060081851254,9.102439846086946e-05,0.0001037900042475,0.0001438872339132,0.0001001307824439,6.804078937152002e-05,0.000101693226741,0.000127036094718,8.228328724738065e-05,0.0002485424408078,8.069673886347357e-05,0.000232074066816,8.84189619305112e-05,0.0002945725234202,7.072592102169633e-05,0.00013410090146,8.467649793623642e-05,0.0002635232840422,,,,,,0.0001076038255198,0.0001075868869534,0.0001161618773364,9.208511474789484e-05,0.0001068730371852
30.0,0.0001137059823531,0.0001037500659931,0.0001004278000372,7.534435112629147e-05,0.0001327643190998,0.0001421731234058,8.41415345274553e-05,4.727481978852966e-05,0.0001229237967928,0.0001252219603849,9.485732505406724e-05,0.0002447092931178,8.164459258265247e-05,0.0002524390870514,0.0001067244721966,0.0002534374720515,5.646190336415944e-05,0.0001176567338454,0.0001016798296126,0.0002457473352854,,,,,,0.000118631324603,0.0001016299417658,0.0001380502191631,7.870814007902761e-05,0.0001292103193604
90.0,0.0011975851624026,0.0008150961947558,0.0011622888226923,0.0007593490139045,0.0012220389447732,0.0008326489048479,0.0010207679278139,0.0005131641099452,0.0012284539958405,0.000827099725239,0.0010474422703372,0.0012647749844353,0.0009835332422678,0.0012557115848701,0.0010780740051218,0.0012198693177361,0.0007755245455993,0.0007149323879921,0.0010668995580382,0.0012482825591219,,,,,,0.0011916567043798,0.0011105402721047,0.0011907643294542,0.0008884833699512,0.0012264231570692
365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
