Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.0,inf,0.016445878136200718,0.0
5.973715651135006e-08,193.75000000000003,0.0019250749802860838,2.320224314506498
1.194743130227001e-07,96.87500000000001,0.0006044749885847092,1.8390992516586988
1.7921146953405015e-07,64.58333333333334,0.0003116549053904104,2.457617142104198
2.389486260454002e-07,48.43750000000001,0.00033485066040109506,2.0083518926683523
2.986857825567503e-07,38.75,0.00022132043734935945,1.7547688533935637
3.584229390681003e-07,32.29166666666667,0.00011101116933089005,-2.8080894420478364
4.181600955794504e-07,27.678571428571434,0.0003978823945217166,2.68949337585919
4.778972520908004e-07,24.218750000000004,0.00040975324664156124,2.2120185551649847
5.376344086021505e-07,21.527777777777782,0.0002521678647764336,1.5535813190355927
5.973715651135006e-07,19.375,0.0001455444659494131,2.2572910127981727
6.571087216248506e-07,17.613636363636363,0.00010872224908893881,2.4007402389711934
7.168458781362006e-07,16.145833333333336,0.0001994501375317996,-2.151529514460066
7.765830346475507e-07,14.903846153846155,0.00022627672714544845,3.0516272039173775
8.363201911589008e-07,13.839285714285717,0.0001407253737675469,1.6597760223106661
8.960573476702509e-07,12.916666666666666,2.5207538814961298e-05,-2.1588295483571716
9.557945041816009e-07,12.109375000000002,0.00017708077810379654,2.0762776932387186
1.015531660692951e-06,11.397058823529411,0.00020475155432140386,1.362251947208596
1.075268817204301e-06,10.763888888888891,0.00011049668304576556,0.7687374773007842
1.135005973715651e-06,10.197368421052632,8.464031046855693e-05,1.6323073288986578
1.1947431302270012e-06,9.6875,0.0001978803178448214,1.7179470248811826
1.254480286738351e-06,9.226190476190478,0.0003660647509412546,1.7250677899148201
1.3142174432497012e-06,8.806818181818182,0.0002947579142077658,1.0167372612890475
1.3739545997610513e-06,8.42391304347826,0.00014278950790011174,-0.3583488189029647
1.4336917562724012e-06,8.072916666666668,3.358148347506245e-05,-2.115184526810269
1.4934289127837514e-06,7.750000000000002,1.8756877525069504e-05,1.4461579709099401
1.5531660692951015e-06,7.4519230769230775,4.136181790262527e-05,-0.5546445649778685
1.6129032258064516e-06,7.175925925925926,6.378400260339378e-05,-3.0606515551594042
1.6726403823178015e-06,6.9196428571428585,0.00013477976953351793,1.1260633607997732
1.7323775388291516e-06,6.68103448275862,6.633289473295217e-05,1.6820755099322717
1.7921146953405017e-06,6.458333333333333,4.836223208911128e-05,0.516534746343095
1.8518518518518517e-06,6.25,2.693693736611902e-05,2.876592531756405
1.9115890083632018e-06,6.054687500000001,7.706422491700572e-05,2.2987811381192977
1.971326164874552e-06,5.871212121212121,6.907574014498889e-05,2.4516611748485237
2.031063321385902e-06,5.698529411764706,0.0001447532100233719,2.730444913968734
2.090800477897252e-06,5.535714285714286,0.00013024283182111273,1.5178681512039367
2.150537634408602e-06,5.3819444444444455,7.628644688973071e-05,0.6574239304122204
2.210274790919952e-06,5.236486486486487,1.8748748291254102e-05,1.7062048797563094
2.270011947431302e-06,5.098684210526316,0.000134866998938405,0.7838750759155736
2.329749103942652e-06,4.967948717948718,0.00014396308863150967,-0.5200478814701885
2.3894862604540023e-06,4.84375,5.052484039397838e-05,-1.6749916815213093
2.4492234169653525e-06,4.725609756097561,2.0613725085900773e-05,-0.8838604031001628
2.508960573476702e-06,4.613095238095239,4.494756681933167e-05,-1.9723293498800127
2.5686977299880523e-06,4.5058139534883725,4.854105688782391e-05,2.1751995683280207
2.6284348864994024e-06,4.403409090909091,1.2483616105579447e-05,1.9279001451334712
2.6881720430107525e-06,4.305555555555555,9.40162254039646e-05,1.2201079557122088
2.7479091995221026e-06,4.21195652173913,5.278894190745805e-05,0.5527682307533507
2.8076463560334528e-06,4.122340425531915,4.3725464384478536e-05,-2.1583894305384796
2.8673835125448025e-06,4.036458333333334,2.6725720073719156e-05,2.8463064531781352
2.9271206690561526e-06,3.954081632653062,7.880611593123226e-06,2.3201974858521135
2.9868578255675027e-06,3.875000000000001,2.2397656264323835e-05,2.7118730981730743
3.046594982078853e-06,3.799019607843138,6.796240196655516e-05,0.8984471020630976
3.106332138590203e-06,3.7259615384615388,1.3436542648295602e-05,2.535790197733507
3.166069295101553e-06,3.655660377358491,5.840008181980056e-05,1.8145223889675957
3.225806451612903e-06,3.587962962962963,7.896637025743637e-05,1.4371392982846365
3.285543608124253e-06,3.5227272727272734,5.7245111563458855e-05,0.9389309272797548
3.345280764635603e-06,3.4598214285714293,5.93528783799104e-05,0.2921281281953024
3.405017921146953e-06,3.3991228070175437,4.247414255957578e-05,0.20314171324034686
3.4647550776583033e-06,3.34051724137931,5.682042369708213e-05,2.534242160437648
3.5244922341696534e-06,3.2838983050847457,4.729479344208248e-05,1.3179932115646888
3.5842293906810035e-06,3.2291666666666665,4.4967678717305745e-05,-0.10798789996024037
3.643966547192353e-06,3.176229508196722,5.6535803887791234e-05,-1.3558843033481145
3.7037037037037033e-06,3.125,4.6780099915316156e-05,-1.8015636521634695
3.7634408602150534e-06,3.0753968253968256,6.184925975468282e-05,2.1512613399134826
3.8231780167264036e-06,3.0273437500000004,6.498837003902608e-05,1.498930565594845
3.882915173237753e-06,2.9807692307692313,6.108483260790311e-05,0.8364689470637118
3.942652329749104e-06,2.9356060606060606,3.9144975131464525e-05,0.18058952832865297
4.0023894862604535e-06,2.8917910447761197,1.7218351166148586e-05,2.3081679471533185
4.062126642771804e-06,2.849264705882353,1.6508396933088898e-05,1.5939349046015132
4.121863799283154e-06,2.807971014492754,3.813276455136079e-05,0.796731998855797
4.181600955794504e-06,2.767857142857143,2.184432658542375e-05,1.9813915187656306
4.241338112305854e-06,2.72887323943662,8.832673712276648e-06,-1.1581991689164943
4.301075268817204e-06,2.6909722222222228,2.5136418381286858e-05,2.8303022211350997
4.360812425328554e-06,2.654109589041096,3.295525221267164e-05,1.7417918610683027
4.420549581839904e-06,2.6182432432432434,4.0102225980598935e-05,1.1227873835199194
4.4802867383512545e-06,2.5833333333333335,5.205171145568575e-05,0.809534506061505
4.540023894862604e-06,2.549342105263158,3.324981405715488e-05,0.08774064515928932
4.599761051373954e-06,2.5162337662337664,5.328934655028227e-06,-0.5141248839582315
4.659498207885304e-06,2.483974358974359,1.873049025667981e-05,0.9550142759244964
4.719235364396654e-06,2.452531645569621,3.36410974764447e-05,-0.08886898868157772
4.778972520908005e-06,2.421875,1.3161671580516043e-05,0.6683238226743582
4.838709677419354e-06,2.3919753086419755,1.4002714112552514e-05,-1.236774174397679
4.898446833930705e-06,2.3628048780487805,5.425489666379447e-06,-1.9894532853323277
4.958183990442055e-06,2.3343373493975905,2.5684883714114734e-05,2.1500728914880587
