Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.2861399130839292e-06,-0.22933691432027292
5.787037037037037e-05,0.2,3.911035425071721e-06,-0.33971605111891257
2.3148148148148147e-05,0.5,1.138823250067261e-05,-2.2052253505967765
1.1574074074074073e-05,1.0,2.2083747696332347e-05,1.1972217642568805
5.787037037037037e-06,2.0,5.7270834104630165e-05,1.7256513983073958
1.6534391534391535e-06,7.0,0.00010636500956933561,-0.6745125375134106
8.267195767195768e-07,14.0,9.521887949897318e-05,-1.0651487139214415
3.8580246913580245e-07,30.0,0.00011367274497970891,1.2525171629890588
1.286008230452675e-07,90.0,0.001090795609549675,2.917721884872469
3.1709791983764586e-08,365.0,,
