Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.00025630234609237955,-1.0836390548723631
5.787037037037037e-05,0.2,0.0014123743928796068,-1.2960488242530361
2.3148148148148147e-05,0.5,0.013650073862503715,-0.365347728282416
1.1574074074074073e-05,1.0,0.030316654570633678,-0.2572863158688208
5.787037037037037e-06,2.0,0.06855610855752513,2.480246189929802
1.6534391534391535e-06,7.0,0.13238831479191587,0.057110005039001696
8.267195767195768e-07,14.0,0.15517234464024018,-0.2071186551847193
3.8580246913580245e-07,30.0,0.14079162616239616,0.899913984455892
1.286008230452675e-07,90.0,1.6976942518749003,-1.3255026857277814
3.1709791983764586e-08,365.0,,
