Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,2.8360404541206145e-07,-1.0656022421785614
5.787037037037037e-05,0.2,1.0306225714384727e-06,-1.0043047508828424
2.3148148148148147e-05,0.5,7.029116711220897e-06,-0.4141212619969011
1.1574074074074073e-05,1.0,1.4246585000518073e-05,0.47754496718891176
5.787037037037037e-06,2.0,3.634714156789935e-05,-1.6015961682199538
1.6534391534391535e-06,7.0,8.184600954943804e-05,0.9556056189033638
8.267195767195768e-07,14.0,7.212735552420562e-05,2.2266302360577974
3.8580246913580245e-07,30.0,9.121028737000118e-05,1.6191153542677372
1.286008230452675e-07,90.0,0.0008902413703257999,-2.737827017994937
3.1709791983764586e-08,365.0,,
