period_days,w01_o01_kyoto,w01_o01_okinawa,w01_o02_kyoto,w01_o02_okinawa,w01_o03_kyoto,w01_o03_okinawa,w01_o04_kyoto,w01_o04_okinawa,w01_o05_kyoto,w01_o05_okinawa,w02_o01_kyoto,w02_o01_sapporo,w02_o02_kyoto,w02_o02_sapporo,w02_o03_kyoto,w02_o03_sapporo,w02_o04_kyoto,w02_o04_sapporo,w02_o05_kyoto,w02_o05_sapporo,w04_o01_kyoto,w04_o01_sapporo,w04_o02_kyoto,w04_o02_sapporo,w04_o03_kyoto,w04_o03_sapporo,w04_o04_kyoto,w04_o04_sapporo,w04_o05_kyoto,w04_o05_sapporo,w05_o01_kyoto,w05_o01_sapporo,w05_o02_kyoto,w05_o02_sapporo,w05_o03_kyoto,w05_o03_sapporo,w05_o04_kyoto,w05_o04_sapporo,w05_o05_kyoto,w05_o05_sapporo
0.1,0.0001265811195977,9.528731746151388e-05,0.0001273916840176,9.504675365076168e-05,0.0001269179635294,9.523435094110588e-05,0.0001268442163224,9.485260969589707e-05,0.0001269179635294,9.581638430994268e-05,0.0001265811195977,0.0001465454190406,0.0001268107380081,0.0001465454190406,0.0001265474240197,0.0001465454190406,0.0001270606556962,0.0001465454190406,0.0001265811195977,0.0001465454190406,0.0001268107380081,0.0001465454190406,0.0001271641914577,0.0001465454190406,0.0001271255994795,0.0001465454190406,0.0001268486035837,0.0001465454190406,0.0001270034557584,0.0001465454190406,0.0001273075707928,0.0001465454190406,0.0001273075707928,0.0001465454190406,0.0001273075707928,0.0001465454190406,0.0001273075707928,0.0001465454190406,0.0001273075707928,0.0001465454190406
0.2,0.0004083671203025,0.0002294375667722,0.0003980471282603,0.0002298212574629,0.0004098014697801,0.000229212241429,0.0004045649922738,0.0002291807872991,0.0004098014697801,0.0002265739629131,0.0004083671203025,0.0004511508543397,0.0004093182295087,0.0004511508543397,0.0004078075133882,0.0004511508543397,0.0004103193640975,0.0004511508543397,0.0004083671203025,0.0004511508543397,0.0004093182295087,0.0004511508543397,0.0004109173739171,0.0004511508543397,0.0004113419394837,0.0004511508543397,0.0004096946045616,0.0004511508543397,0.0004103431487645,0.0004511508543397,0.0004066046608303,0.0004511508543397,0.0004066046608303,0.0004511508543397,0.0004066046608303,0.0004511508543397,0.0004066046608303,0.0004511508543397,0.0004066046608303,0.0004511508543397
0.5,0.0016057324370413,0.0006311864493271,0.0016545028941431,0.0006245240538682,0.0015916279899063,0.0006171014582138,0.0016279590751234,0.0006819051262796,0.0015916279899063,0.0006009538074513,0.0016057324370413,0.0013464402024903,0.0015963663475842,0.0013464402024903,0.0016104353718143,0.0013464402024903,0.0015319555505358,0.0013464402024903,0.0016057324370413,0.0013464402024903,0.0015963663475842,0.0013464402024903,0.0015378926871424,0.0013464402024903,0.001576742150916,0.0013464402024903,0.0015259736490428,0.0013464402024903,0.001586783106666,0.0013464402024903,0.0014795239612136,0.0013464402024903,0.0014795239612136,0.0013464402024903,0.0014795239612136,0.0013464402024903,0.0014795239612136,0.0013464402024903,0.0014795239612136,0.0013464402024903
1.0,0.0026825594606043,0.0012222220337156,0.0028592918618384,0.001219666575665,0.0026485122300165,0.0012166939198385,0.0027438615675505,0.0011406953243987,0.0026485122300165,0.0012051739055667,0.0026825594606043,0.0022070511926533,0.0026596014946432,0.0022070511926533,0.0026944045703679,0.0022070511926533,0.0025525328801619,0.0022070511926533,0.0026825594606043,0.0022070511926533,0.0026596014946432,0.0022070511926533,0.0025588219287211,0.0022070511926533,0.0026171185540206,0.0022070511926533,0.002546902206954,0.0022070511926533,0.0026377111213065,0.0022070511926533,0.002545685239023,0.0022070511926533,0.002545685239023,0.0022070511926533,0.002545685239023,0.0022070511926533,0.002545685239023,0.0022070511926533,0.002545685239023,0.0022070511926533
2.0,0.0038492810500721,0.0021386387370663,0.0038448671049088,0.0021389523325966,0.0038498037267929,0.0021392946185952,0.003848026597049,0.0021220265177383,0.0038498037267929,0.0021406055632828,0.0038492810500721,0.0038243189056598,0.0038496487374373,0.0038243189056598,0.0038490685756779,0.0038243189056598,0.0038507292439736,0.0038243189056598,0.0038492810500721,0.0038243189056598,0.0038496487374373,0.0038243189056598,0.0038506793661032,0.0038243189056598,0.0038501716444694,0.0038243189056598,0.0038507770350148,0.0038243189056598,0.0038499398950804,0.0038243189056598,0.0038319143799273,0.0038243189056598,0.0038319143799273,0.0038243189056598,0.0038319143799273,0.0038243189056598,0.0038319143799273,0.0038243189056598,0.0038319143799273,0.0038243189056598
7.0,0.00580133342203,0.0054293188735693,0.0058213602995915,0.0054219005591323,0.0057970845152494,0.0054143796481815,0.005808365510238,0.0055156548655321,0.0057970845152494,0.0053951768098898,0.00580133342203,0.0053274942619655,0.0057985042726975,0.0053274942619655,0.0058027451865191,0.0053274942619655,0.005782339442681,0.0053274942619655,0.00580133342203,0.0053274942619655,0.0057985042726975,0.0053274942619655,0.0057836078125449,0.0053274942619655,0.0057928621592475,0.0053274942619655,0.0057810823633318,0.0053274942619655,0.0057956612524656,0.0053274942619655,0.0056338656128491,0.0053274942619655,0.0056338656128491,0.0053274942619655,0.0056338656128491,0.0053274942619655,0.0056338656128491,0.0053274942619655,0.0056338656128491,0.0053274942619655
14.0,0.0047514554555656,0.0053767647952787,0.004728992349398,0.0053836563345096,0.0047562701367212,0.005390690529625,0.0047434406424965,0.0053114272251253,0.0047562701367212,0.0054088243083714,0.0047514554555656,0.0052268571903459,0.0047546649725355,0.0052268571903459,0.0047498512745921,0.0052268571903459,0.0047740176658499,0.0052268571903459,0.0047514554555656,0.0052268571903459,0.0047546649725355,0.0052268571903459,0.0047723930992315,0.0052268571903459,0.0047610884390824,0.0052268571903459,0.0047756449626595,0.0052268571903459,0.0047578754277582,0.0052268571903459,0.0048430953693302,0.0052268571903459,0.0048430953693302,0.0052268571903459,0.0048430953693302,0.0052268571903459,0.0048430953693302,0.0052268571903459,0.0048430953693302,0.0052268571903459
30.0,0.0054707148806876,0.0064710837696542,0.0054742656524378,0.0064739652998973,0.0054700341991556,0.0064767584908187,0.005471856527257,0.0064810485096176,0.0054700341991556,0.0064832000728329,0.0054707148806876,0.0050441835754209,0.0054702614457882,0.0050441835754209,0.005470942644403,0.0050441835754209,0.0054681933624033,0.0050441835754209,0.0054707148806876,0.0050441835754209,0.0054702614457882,0.0050441835754209,0.0054683069756337,0.0050441835754209,0.0054693859409884,0.0050441835754209,0.0054680885357355,0.0050441835754209,0.005469806514371,0.0050441835754209,0.0053199799942522,0.0050441835754209,0.0053199799942522,0.0050441835754209,0.0053199799942522,0.0050441835754209,0.0053199799942522,0.0050441835754209,0.0053199799942522,0.0050441835754209
90.0,0.0118143100172342,0.0116627096170422,0.0118399441863722,0.0116629052319234,0.0118087442040832,0.0116631091184505,0.0118239045073521,0.0116578703058845,0.0118087442040832,0.0116636603817565,0.0118143100172342,0.0110936587288917,0.0118105798404195,0.0110936587288917,0.0118161951687446,0.0110936587288917,0.011785751994425,0.0110936587288917,0.0118143100172342,0.0110936587288917,0.0118105798404195,0.0110936587288917,0.0117880563782354,0.0110936587288917,0.0118031289923322,0.0110936587288917,0.0117834207078525,0.0110936587288917,0.0118069281737898,0.0110936587288917,0.0118340681585167,0.0110936587288917,0.0118340681585167,0.0110936587288917,0.0118340681585167,0.0110936587288917,0.0118340681585167,0.0110936587288917,0.0118340681585167,0.0110936587288917
365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
