period_days,w01_o01_kyoto,w01_o01_okinawa,w01_o02_kyoto,w01_o02_okinawa,w01_o03_kyoto,w01_o03_okinawa,w01_o04_kyoto,w01_o04_okinawa,w01_o05_kyoto,w01_o05_okinawa,w02_o01_kyoto,w02_o01_sapporo,w02_o02_kyoto,w02_o02_sapporo,w02_o03_kyoto,w02_o03_sapporo,w02_o04_kyoto,w02_o04_sapporo,w02_o05_kyoto,w02_o05_sapporo,w04_o01_kyoto,w04_o01_sapporo,w04_o02_kyoto,w04_o02_sapporo,w04_o03_kyoto,w04_o03_sapporo,w04_o04_kyoto,w04_o04_sapporo,w04_o05_kyoto,w04_o05_sapporo,w05_o01_kyoto,w05_o01_sapporo,w05_o02_kyoto,w05_o02_sapporo,w05_o03_kyoto,w05_o03_sapporo,w05_o04_kyoto,w05_o04_sapporo,w05_o05_kyoto,w05_o05_sapporo
0.1,2.235111614013343,1.9319552749927384,2.1257819528943735,1.9161233417893344,2.4521549163730763,2.0354711713394056,2.898992965865694,2.6154115463109475,2.3920812335357877,1.9612929909678651,1.735640568209746,1.7043447010766868,1.7174738761411483,1.7107135333082115,1.802130276445064,1.7051164462251314,1.4781150284677778,-1.1812500985115038,1.760692426731054,1.6931000473782585,1.7413823438349023,1.692012406135505,1.7315436630755705,1.719112722854738,1.746518473345642,1.5575759020303788,2.40692344164866,-1.5198590383938693,1.7454722684721342,1.639533484169421,1.7316848129634557,1.685267566040037,1.7434601087404882,1.724069703631513,1.67562086601579,1.5517715217648989,1.7466902030558202,1.7349570291848972,1.7006096319966366,1.6349437073360018
0.2,1.9184382824392072,1.7746128705964328,1.865307372680576,1.7609970871321512,2.1090565493019597,1.8600548624184976,2.8151857482266305,2.4287476618936292,2.058234665085687,1.8042909721611184,1.6959877808777448,1.6664832618319394,1.6771399067020902,1.6446393425788008,1.7783901928789745,1.7683091098483268,2.222862694977039,-1.3421033972866987,1.7262913812138536,1.6895264471571756,1.6245051455783766,1.5939151403819936,1.6429364061109732,1.644362421097889,1.6613580145489524,1.478984461051174,2.163935504807064,-1.68252662613543,1.641156783153125,1.5467932896596672,1.6146533653306676,1.5511219189007015,1.6319866326392425,1.600415930586533,1.5199456581839013,1.4206852113387574,1.647143009257436,1.6226576260641998,1.5783731957743556,1.4929161276633984
0.5,1.7530963699277151,1.7016946232514594,1.5957265498236226,1.680178740358564,3.040634250747449,1.783753352064913,-2.794699133465252,2.10943646173125,2.242221312315011,1.70698581168292,1.8758322536767589,1.396282395904531,1.5866288117091183,1.4370803057236987,2.457701746142985,1.4812678133054944,0.0786256606422308,0.030790080227305,2.108812327568089,1.390605974988977,1.6266916746512317,1.4040299954790136,1.578085231573693,1.459982681603756,2.060885059558118,1.427063864695961,-1.4881687952594358,-1.2315527503010897,1.8201954334295931,1.3692448524095315,1.7056804872836733,1.4340349732833548,1.566267886939115,1.485637123668094,1.609588490492241,1.3732142629452204,1.528298025153184,1.5179563648047498,1.668182883798325,1.399239629227557
1.0,1.4172391952287362,1.7056985564991598,1.7373437282406987,1.6636124619651813,0.5965106551788343,1.9464163671396053,-2.998152468625108,2.53873385967602,0.8055349727998934,1.801989205658198,0.95697064704402,1.4994207192617417,1.1600469061857694,1.45120050572013,0.9322519942541726,1.7805365078266389,-0.4684579294626508,1.553016341420116,0.8775426772192406,1.639632871937838,1.1906979625037528,1.3600680708795367,1.3229374574518855,1.2624378042249311,0.9316941516340372,1.6675006522416056,-0.5986233497467978,0.1479002805589075,0.9353016225957624,1.4274582587691946,0.5357771466933005,1.5836929768706811,1.1010504391162816,1.537085266308735,0.441312936818078,1.6765070744441886,1.4749023605253562,1.517830043608076,0.4112966047263192,1.618231922607764
2.0,1.745521915645198,1.5867615508468054,1.725403046440545,1.6038799075157504,0.9117836064272724,1.4869778376623033,2.6431302356373405,2.1693285850870483,1.6661576364304056,1.5755086274870618,1.6431759059841915,1.8549054059564951,1.6916355665650606,1.6396410424043362,1.5750571308696992,2.705673834757822,2.4228689990619245,-1.6629654845850457,1.61438268851309,2.171177497841579,1.6192124473811444,1.5823424167987266,1.558487702931811,1.590537301808271,1.7401266988818491,2.072770307874725,1.7809813867358033,1.1822552735051624,1.6793110267352631,1.7691731549434369,2.1521992530992247,1.7085856343612664,1.8066761734622023,1.5961926847877486,2.8649084925966775,2.269565216186024,1.5776000052797243,1.5491723534492383,2.5468995987095044,1.893533216376448
7.0,-3.101371490303865,0.9345826066566294,1.2202572130634597,1.273321202788093,-1.9003543037978912,0.8335970352680475,-0.5246006579178523,1.7280995544951143,-2.309276939174663,0.7818358856438429,-1.1315259019800894,2.432843363756311,0.5832351782655926,1.9979427229755364,-1.166446223381068,3.129080301435774,-0.054444306939699,1.489112608011952,-1.203050978508824,2.7899016596858535,-0.5273184060095222,1.954653707308523,0.7551484347586276,1.679054071272036,-1.1047165023257948,2.5306896871915088,0.1003124797678287,1.333769342063568,-0.9717594724783358,2.26551047497947,1.731101046708047,1.8996300245361344,1.474342660765477,1.5956396148604637,1.5631729973325188,2.674223521239128,1.396286573952186,1.473322243212324,1.6295566209095518,2.2349402609542497
14.0,-3.1248833461671195,2.109291760900404,2.3843987317473334,1.8257819064881065,-1.985590004697607,2.770014105866053,-2.0982473775607833,-2.9194764446386134,-2.2816500262523434,2.3468054630516977,-2.0630525441768968,2.014195849163095,-2.661639107522398,1.7959649753771847,-1.7483082219334791,-0.7144517557006181,-2.8915982008502255,2.5108107988123023,-1.86992294682338,1.8418103971039643,-2.5368804933201603,2.0486415147162744,2.972447586608911,1.8436821362085245,-1.893229048762215,2.6917785487837564,2.5059998610409773,2.2122501766266582,-2.074235904638678,2.2612491622751296,-2.007998581125946,1.811055788052229,2.619959882247228,1.7097618850209966,-1.4195784971850949,2.3708465346887153,2.017747236199636,1.6287955724667165,-1.6355693152158632,1.9760859899419423
30.0,1.1603146477696429,2.8302261204086157,1.5223634280025418,2.180465447291761,1.3917594689561277,-2.831841963997363,1.3285141709228756,-3.02777568389123,1.2214100097237997,-3.1006870817916523,1.7381513828434474,1.527035809503651,1.647860312725937,1.5820589594787569,1.7205486275646311,1.4810957158395024,1.8928348779223405,1.376562497015837,1.737604843668186,1.4889583327735625,1.810272533534394,1.595845309371228,1.696559104223874,1.7154592726403373,1.8090801462534087,1.5492366269146178,2.5430217461211893,2.308773654625931,1.8073054128772867,1.600373736121148,1.740252905907684,1.8124689279448165,1.819646185069292,1.7554245293490534,1.929733184132424,1.5583079916002966,1.771264265976807,1.7771474604748974,1.784909525853901,1.873415798327406
90.0,2.054578330834348,2.330769492270984,1.817884254770905,2.2489512702833463,2.3435639566102435,1.5262678416035296,-1.3328897091130183,1.292109375860795,2.2122438287219715,2.0864592143474607,2.262810515421507,2.0036697154873107,2.060803175747677,1.8515383870976232,2.4360136090722846,2.2664051401565137,-1.0415783274404316,-0.7797363768079103,2.365197737674237,2.1507613324758603,2.262680150322004,2.017605294780658,2.070454183045745,1.9096467588448125,2.433885355255688,2.2705866577028595,-0.8351990352979302,2.8539193127261924,2.3628197112845917,2.1611852412483494,2.3325524228195436,2.327571800594676,2.1859243552244676,2.223391388281995,2.485486429246214,2.3767969515596388,2.056707748537671,2.3595617335097434,2.419122233201837,2.354050214761434
365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
