Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0012206060626634874,2.4333750724570713
5.787037037037037e-05,0.2,0.002971987120997243,-2.279590042795487
2.3148148148148147e-05,0.5,0.009913554161868437,0.27231712161944854
1.1574074074074073e-05,1.0,0.01967669135018862,2.5999706588529756
5.787037037037037e-06,2.0,0.04168424351129811,0.6526411643555994
1.6534391534391535e-06,7.0,0.09467582326459464,1.6636157992791687
8.267195767195768e-07,14.0,0.11338822420793207,-2.699587078934812
3.8580246913580245e-07,30.0,0.07605872913336037,-2.4013333982928047
1.286008230452675e-07,90.0,0.7613478752572573,1.1657453527758737
3.1709791983764586e-08,365.0,,
