Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,2.5542768889389964e-06,1.4818345443577488
5.787037037037037e-05,0.2,4.528436491481813e-06,2.0710245798485616
2.3148148148148147e-05,0.5,1.403457938700285e-05,2.225425050193616
1.1574074074074073e-05,1.0,2.730806336148902e-05,0.9396516561526916
5.787037037037037e-06,2.0,7.282459015216743e-05,1.4491795333418847
1.6534391534391535e-06,7.0,0.00014332714778440028,2.008934625829216
8.267195767195768e-07,14.0,0.0001339907597950383,-2.716174284986206
3.8580246913580245e-07,30.0,8.520187071415045e-05,3.0912663227217987
1.286008230452675e-07,90.0,0.0008685857655861249,1.384252748616822
3.1709791983764586e-08,365.0,,
