Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0009817427530191517,-1.233173862925012
5.787037037037037e-05,0.2,0.002307077544301426,-1.32852005859716
2.3148148148148147e-05,0.5,0.00950952466921193,-1.1786008930620266
1.1574074074074073e-05,1.0,0.023328693789817008,-0.6442728771727247
5.787037037037037e-06,2.0,0.07577942324056641,-1.4290611474365271
1.6534391534391535e-06,7.0,0.164335250484528,0.8620728504581672
8.267195767195768e-07,14.0,0.17264894221748148,0.4333609886821213
3.8580246913580245e-07,30.0,0.15357202740278592,-0.14316697415221843
1.286008230452675e-07,90.0,1.8971286281576392,-1.0699233842048146
3.1709791983764586e-08,365.0,,
