Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,3.075291042316542e-07,1.6906629964852449
5.787037037037037e-05,0.2,1.0345629766979915e-06,1.808903089522605
2.3148148148148147e-05,0.5,4.934946827498712e-06,1.669156347255051
1.1574074074074073e-05,1.0,1.1982768938634316e-05,-2.5014675845820173
5.787037037037037e-06,2.0,4.109495226509147e-05,1.4551098719586673
1.6534391534391535e-06,7.0,0.00011770919959918692,1.4210709987767778
8.267195767195768e-07,14.0,0.00014243678084489906,2.883315516399588
3.8580246913580245e-07,30.0,0.0001445846000180875,-2.4744440102100964
1.286008230452675e-07,90.0,0.0008448355640536501,1.9048096224738587
3.1709791983764586e-08,365.0,,
