Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.00039933107748233473,-0.6327524089341104
5.787037037037037e-05,0.2,0.001074503192465162,-1.0266489257668987
2.3148148148148147e-05,0.5,0.009391522571496568,-0.691272656028667
1.1574074074074073e-05,1.0,0.02389252210431831,-1.167674490181404
5.787037037037037e-06,2.0,0.0635260283909952,-0.8321597074846823
1.6534391534391535e-06,7.0,0.13000896733558062,-0.8795349301659748
8.267195767195768e-07,14.0,0.15236810624470015,-1.9582473931268853
3.8580246913580245e-07,30.0,0.13957608634644506,3.0652343034826823
1.286008230452675e-07,90.0,1.695057900671664,2.863715218652969
3.1709791983764586e-08,365.0,,
