Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,3.5467435174908777e-07,1.3094751919854521
5.787037037037037e-05,0.2,9.456408860654848e-07,1.5678746233415601
2.3148148148148147e-05,0.5,3.832466329661194e-06,1.9991295232683826
1.1574074074074073e-05,1.0,1.0158338501578484e-05,2.045406333605799
5.787037037037037e-06,2.0,2.934109169227771e-05,1.8102293634120457
1.6534391534391535e-06,7.0,6.99808401460414e-05,-2.5775679122757387
8.267195767195768e-07,14.0,0.0001380473382701369,2.7744096614002087
3.8580246913580245e-07,30.0,0.00017317714481599998,-2.5353407626674698
1.286008230452675e-07,90.0,0.0008942817786332225,3.0195888243291815
3.1709791983764586e-08,365.0,,
