Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.2346245787769376e-06,-1.3811718374294661
5.787037037037037e-05,0.2,3.737823424643255e-06,-1.679485784821319
2.3148148148148147e-05,0.5,1.189029426658002e-05,-2.1082530912046717
1.1574074074074073e-05,1.0,2.2700268414089108e-05,-2.388830175112635
5.787037037037037e-06,2.0,6.065657509241556e-05,-0.620103646794901
1.6534391534391535e-06,7.0,0.00012051790525311711,-1.5315127488348965
8.267195767195768e-07,14.0,0.00011541957126862011,2.9811944152533423
3.8580246913580245e-07,30.0,0.00013575474277937295,-1.7088038261962712
1.286008230452675e-07,90.0,0.0009999095744341,-2.697096181919984
3.1709791983764586e-08,365.0,,
