Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0021618187623640966,-1.258741470930083
5.787037037037037e-05,0.2,0.008226191793471801,-1.543522962510519
2.3148148148148147e-05,0.5,0.03757832846330938,1.2820011411286436
1.1574074074074073e-05,1.0,0.05841192086486847,-2.1513855608557124
5.787037037037037e-06,2.0,0.09797913701223897,-1.042354736767366
1.6534391534391535e-06,7.0,0.18999735711431115,1.347433525462622
8.267195767195768e-07,14.0,0.20713399142281091,-2.1584952266389807
3.8580246913580245e-07,30.0,0.25710917511069825,-1.5003640350403797
1.286008230452675e-07,90.0,2.3607727795297144,-2.4697208704788367
3.1709791983764586e-08,365.0,,
