Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.0568833414327594e-05,1.9198187524807155
5.787037037037037e-05,0.2,2.216272050192281e-05,1.7319024233170806
2.3148148148148147e-05,0.5,5.492877805037778e-05,1.6277297083494693
1.1574074074074073e-05,1.0,0.00012336625259340908,1.700122602885535
5.787037037037037e-06,2.0,0.000330966057474678,1.5733909726916386
1.6534391534391535e-06,7.0,0.001180466195322758,1.6633240017989646
8.267195767195768e-07,14.0,0.0021637419738073796,1.6386433238073548
3.8580246913580245e-07,30.0,0.004141544286382851,1.7899438540150248
1.286008230452675e-07,90.0,0.013096237096959033,1.9873989289072087
3.1709791983764586e-08,365.0,,
