Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,5.693297786533308e-06,2.1177714072677216
5.787037037037037e-05,0.2,1.0648912401732487e-05,1.8643884517660108
2.3148148148148147e-05,0.5,2.2618658554750354e-05,1.6242410867537826
1.1574074074074073e-05,1.0,6.08148954877105e-05,1.6379228800374073
5.787037037037037e-06,2.0,0.00017785805912527548,1.7815700298592967
1.6534391534391535e-06,7.0,0.000512787850309451,1.3349684836446616
8.267195767195768e-07,14.0,0.000575918000731539,1.7338830917003485
3.8580246913580245e-07,30.0,0.0021631085196832833,1.2787873837283723
1.286008230452675e-07,90.0,0.0095837591470873,1.6627633708169547
3.1709791983764586e-08,365.0,,
