Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.9734693946885797e-06,-1.461437679198405
5.787037037037037e-05,0.2,4.3059475728504345e-06,-1.404723757831046
2.3148148148148147e-05,0.5,1.0577932647347442e-05,-1.184241152931843
1.1574074074074073e-05,1.0,2.1177008427276706e-05,-1.3010928937106423
5.787037037037037e-06,2.0,6.38210305751011e-05,-0.18097072747684131
1.6534391534391535e-06,7.0,0.00015926636582976433,-3.1224269953243438
8.267195767195768e-07,14.0,0.0002308590197495916,2.793767857874002
3.8580246913580245e-07,30.0,0.00024829488574516664,-2.201743116427664
1.286008230452675e-07,90.0,0.0009112165466146008,2.9801263934367515
3.1709791983764586e-08,365.0,,
