Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0007387195201912039,1.151512064271153
5.787037037037037e-05,0.2,0.0016760589187016788,1.5447912353298343
2.3148148148148147e-05,0.5,0.004652314953274928,2.1069612162072544
1.1574074074074073e-05,1.0,0.011727093659987151,2.1923687364982736
5.787037037037037e-06,2.0,0.034445246179635305,1.762663573351654
1.6534391534391535e-06,7.0,0.08038341196901991,-2.6731246936298403
8.267195767195768e-07,14.0,0.12359476671186612,-3.057160111696749
3.8580246913580245e-07,30.0,0.17617078786317072,-2.336724690520939
1.286008230452675e-07,90.0,0.8948943900372047,-2.946240206854995
3.1709791983764586e-08,365.0,,
