Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0001653840467717908,-1.592304216838879
5.787037037037037e-05,0.2,0.0005161297690545336,-1.5808487624692098
2.3148148148148147e-05,0.5,0.0016793315900641992,-1.7312581254164183
1.1574074074074073e-05,1.0,0.0028716855399305,2.13927603364224
5.787037037037037e-06,2.0,0.00458573657847007,0.3863840137896911
1.6534391534391535e-06,7.0,0.006902238664094157,-2.3865557626685074
8.267195767195768e-07,14.0,0.0064366848687714305,-2.9790019327907538
3.8580246913580245e-07,30.0,0.00697615498944995,1.0493602093659031
1.286008230452675e-07,90.0,0.0135853535387399,2.264858444410956
3.1709791983764586e-08,365.0,,
