Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,2.753034084207017e-07,-0.8764062092680719
5.787037037037037e-05,0.2,7.341386017611449e-07,-1.1506084271132406
2.3148148148148147e-05,0.5,6.020991112118157e-06,-0.9887741563705157
1.1574074074074073e-05,1.0,1.3257885794000155e-05,-1.976169307196708
5.787037037037037e-06,2.0,3.470186800271786e-05,-0.9379032817761156
1.6534391534391535e-06,7.0,8.279211101263211e-05,0.989334869006662
8.267195767195768e-07,14.0,7.692907535973052e-05,-2.4136065253445
3.8580246913580245e-07,30.0,8.801939825155279e-05,-1.6254875570583538
1.286008230452675e-07,90.0,0.0008683604205323332,-2.472434248915742
3.1709791983764586e-08,365.0,,
