Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0013170240019100136,-1.1239058878154273
5.787037037037037e-05,0.2,0.0030083238091498806,-1.361622668175843
2.3148148148148147e-05,0.5,0.014947593818982897,-1.1226583189925075
1.1574074074074073e-05,1.0,0.031187962885371498,-1.8680856818467515
5.787037037037037e-06,2.0,0.08824729429516884,-1.1315323546113407
1.6534391534391535e-06,7.0,0.18670741044021189,0.17184545587270111
8.267195767195768e-07,14.0,0.20337351961934505,-2.1231207647622954
3.8580246913580245e-07,30.0,0.2585250273198633,-1.467706205622333
1.286008230452675e-07,90.0,2.345753212758765,-2.4739203286034073
3.1709791983764586e-08,365.0,,
