Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,8.775877116608377e-06,2.122389862157876
5.787037037037037e-05,0.2,2.4028184245074822e-05,2.006898868314098
2.3148148148148147e-05,0.5,6.736739438066428e-05,2.24025332746816
1.1574074074074073e-05,1.0,0.00021779182243779482,0.9216100354330722
5.787037037037037e-06,2.0,0.0010949862976064014,1.7976443919443252
1.6534391534391535e-06,7.0,0.0038228220168711317,1.0625959223300376
8.267195767195768e-07,14.0,0.00281397686025948,-0.5378831573586653
3.8580246913580245e-07,30.0,0.006575837100830484,0.544382412722212
1.286008230452675e-07,90.0,0.014214581916517135,1.7554085966174862
3.1709791983764586e-08,365.0,,
