Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0001124889783418315,-1.3046653605042942
5.787037037037037e-05,0.2,0.00025591986654717577,-1.315494223802887
2.3148148148148147e-05,0.5,0.0006973422857320527,-2.2552729401404257
1.1574074074074073e-05,1.0,0.001294380629073703,-0.9030108643294666
5.787037037037037e-06,2.0,0.0025524390958271918,-0.33300519408909585
1.6534391534391535e-06,7.0,0.006146652284065004,2.5448309075706246
8.267195767195768e-07,14.0,0.00794119733508004,2.9406000611785132
3.8580246913580245e-07,30.0,0.008277371222193167,-2.3003806225417214
1.286008230452675e-07,90.0,0.014349226497017468,-2.486025536107845
3.1709791983764586e-08,365.0,,
