Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,2.6414220926356627e-07,-0.8246457692225618
5.787037037037037e-05,0.2,7.807289455140894e-07,-1.107895018466583
2.3148148148148147e-05,0.5,6.41133105625475e-06,-0.8831546596318504
1.1574074074074073e-05,1.0,1.4267944853202057e-05,-2.642711401192967
5.787037037037037e-06,2.0,3.9123214392550484e-05,-1.165192426109637
1.6534391534391535e-06,7.0,0.00010091173745692172,-2.2561637543889326
8.267195767195768e-07,14.0,8.953897857377505e-05,-3.104062769173554
3.8580246913580245e-07,30.0,0.00012483278997018908,-1.7178011388291057
1.286008230452675e-07,90.0,0.0009889217989197667,-2.6633082639162384
3.1709791983764586e-08,365.0,,
