Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0012966661049557111,-1.1093028304128094
5.787037037037037e-05,0.2,0.002930665639518616,-1.3530145705846315
2.3148148148148147e-05,0.5,0.014697381536152571,-1.094169199077897
1.1574074074074073e-05,1.0,0.03149681353778238,-1.8643308995240417
5.787037037037037e-06,2.0,0.08920492887854166,-1.1319382754709264
1.6534391534391535e-06,7.0,0.18759479934709272,-0.03742308373583521
8.267195767195768e-07,14.0,0.20434345604441057,-2.1550646911892484
3.8580246913580245e-07,30.0,0.2589792422356161,-1.4672426162585166
1.286008230452675e-07,90.0,2.3453702126895646,-2.4737560928780566
3.1709791983764586e-08,365.0,,
