Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.974675706714552e-06,-1.3976123938169511
5.787037037037037e-05,0.2,4.320993646899609e-06,-1.4028382294569575
2.3148148148148147e-05,0.5,1.0509065325310972e-05,-1.4338555778547766
1.1574074074074073e-05,1.0,2.0875200977986778e-05,-1.1843175460283077
5.787037037037037e-06,2.0,6.382604838763061e-05,-0.06129698095510701
1.6534391534391535e-06,7.0,0.00015872106950140465,-2.983610229329962
8.267195767195768e-07,14.0,0.00023060998068012576,2.774961813103326
3.8580246913580245e-07,30.0,0.0002490993701103667,-2.186847552391158
1.286008230452675e-07,90.0,0.0009136415978396148,3.0031834934293102
3.1709791983764586e-08,365.0,,
