Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0014282209710399245,1.9127024070147591
5.787037037037037e-05,0.2,0.0031998634856358595,1.4622182149573397
2.3148148148148147e-05,0.5,0.012344238814345768,0.15836984137581547
1.1574074074074073e-05,1.0,0.020134050895390686,-1.5427003394342904
5.787037037037037e-06,2.0,0.03845499765312522,0.8711672633790168
1.6534391534391535e-06,7.0,0.07877655504315274,-1.253301178443016
8.267195767195768e-07,14.0,0.11733131801651826,-2.8788709659427516
3.8580246913580245e-07,30.0,0.16993141511661405,-2.228906470738876
1.286008230452675e-07,90.0,0.8881370306263979,-2.913680040207608
3.1709791983764586e-08,365.0,,
