Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,2.7429741007849987e-06,2.7285414287630365
5.787037037037037e-05,0.2,4.484222888480756e-06,2.6012954535306996
2.3148148148148147e-05,0.5,7.940139008751526e-06,2.49422702348482
1.1574074074074073e-05,1.0,1.4322998773079005e-05,2.595166306939991
5.787037037037037e-06,2.0,3.75677387595539e-05,2.2467309186639426
1.6534391534391535e-06,7.0,8.578475768797026e-05,-2.5121754536506407
8.267195767195768e-07,14.0,0.00012887153335300287,-3.0790232271953735
3.8580246913580245e-07,30.0,0.0001829526428838167,-2.381288657140495
1.286008230452675e-07,90.0,0.0009515803624401334,-3.016793415575919
3.1709791983764586e-08,365.0,,
