Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,1.2306901075861207e-06,-1.4004628441172573
5.787037037037037e-05,0.2,3.7384562190632217e-06,-1.5310335256435603
2.3148148148148147e-05,0.5,1.1892252905989312e-05,-1.5473733232383537
1.1574074074074073e-05,1.0,2.2814665700952447e-05,-2.5707784562965124
5.787037037037037e-06,2.0,6.076722204685422e-05,-0.8828668091305844
1.6534391534391535e-06,7.0,0.00012050627680706165,-1.639031316473731
8.267195767195768e-07,14.0,0.00011525893175808094,2.967607702443845
3.8580246913580245e-07,30.0,0.00013581688269209281,-1.7073977101127482
1.286008230452675e-07,90.0,0.0009995732836478666,-2.6983988462542254
3.1709791983764586e-08,365.0,,
