Frequency (Hz),Period (Day),Amplitude,Phase (radians)
0.00011574074074074075,0.1,0.0012978121609383381,-1.1100111093298946
5.787037037037037e-05,0.2,0.0028361557468739545,-1.3132753154437151
2.3148148148148147e-05,0.5,0.015164636233390831,-1.17572013356302
1.1574074074074073e-05,1.0,0.03235954090601732,-1.9793684817600785
5.787037037037037e-06,2.0,0.08898239370230822,-1.2436710582723463
1.6534391534391535e-06,7.0,0.1863302623666018,0.20710175828282676
8.267195767195768e-07,14.0,0.2027852004472627,-2.1239678895593945
3.8580246913580245e-07,30.0,0.25859708629258565,-1.469737380060758
1.286008230452675e-07,90.0,2.343453528737139,-2.4760286383375933
3.1709791983764586e-08,365.0,,
